X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-82.5981632479999,42.0308304440001,3024,137287604,2602,Long-Term Care Home,NH for-profit,Franklin Gardens Long Term Care Home, , , ,24 Franklin Road, , ,Leamington,N8H4B7,20210527134142,20210526122249
-77.0375355749999,44.2012156860001,3025,137287605,934,Long-Term Care Home,NH for-profit,Friendly Manor Nursing Home, , , ,9756 County Road,"Unit 2, Postal Office Box 305", ,Deseronto,K0K1X0,20210527134934,20210526122249
-78.748028641,44.3428097350001,3026,137287606,2703,Long-Term Care Home,NH for-profit,Frost Manor, , , ,225 Mary Street West, , ,Kawartha Lakes,K9V5K3,20210527133801,20210526122249
-79.373573682,43.6660821880001,3027,137287607,M524,Long-Term Care Home,MHFA,Fudger House, , , ,439 Sherbourne Street, , ,Toronto,M4X1K6,20210527134547,20210526122249
-79.2490311999999,43.180917908,3028,137287608,2364,Long-Term Care Home,NH for-profit,Garden City Manor, , , ,168 Scott Street, , ,St. Catharines,L2N1H2,20210527134946,20210526122249
-79.496807516,43.6019570710001,3029,137287609,1133,Long-Term Care Home,NH for-profit,Garden Court Nursing Home, , , ,1 Sand Beach Road, , ,Toronto,M8V2W2,20210527134101,20210526122249
-75.901962596,45.309869227,3030,137287610,2882,Long-Term Care Home,NH for-profit,Garden Terrace, , , ,100 Aird Place, , ,Ottawa,K2L4H8,20210527134719,20210526122250
-80.1408120579999,42.888365514,3031,137287611,2961,Long-Term Care Home,NH non-profit,Gardenview Long Term Care Home, , , ,72 Town Centre Drive, , ,Townsend,N0A1S0,20210527133940,20210526122250
-75.6832133349999,45.437854658,3032,137287612,M622,Long-Term Care Home,MHFA,Garry J. Armstrong Home, , , ,200 Island Lodge Road, , ,Ottawa,K1N5M2,20210527134127,20210526122250
-81.128657942,44.740189587,3033,137287613,M526,Long-Term Care Home,MHFA,Gateway Haven Long Term Care Home, , , ,671 Frank Street,Postal Office Box 10, ,Wiarton,N0H2T0,20210527134450,20210526122250
-80.92272196,44.5692993690001,3034,137287614,2638,Long-Term Care Home,NH for-profit,Georgian Heights, , , ,1115 10th Street East, , ,Owen Sound,N4K6B1,20210527134246,20210526122251
-79.919762658,44.767965852,3035,137287615,M527,Long-Term Care Home,MHFA,Georgian Manor Home for the Aged, , , ,101 Thompsons Road, , ,Penetanguishene,L9M0V3,20210527133724,20210526122251
-86.954721648,49.7226911970001,3036,137287616,2764,Long-Term Care Home,NH non-profit,Geraldton District Hospital, , , ,500 Hogarth Avenue West, , ,Geraldton,P0T1M0,20210527134713,20210526122251
-78.9149039719999,42.920802376,3037,137287617,M528,Long-Term Care Home,MHFA,Gilmore Lodge, , , ,50 Gilmore Road, , ,Fort Erie,L2A2M1,20210527135028,20210526122251
-75.686356933,45.398765251,3038,137287618,2811,Long-Term Care Home,NH non-profit,Glebe Centre, , , ,77 Monk Street, , ,Ottawa,K1S5A7,20210527134525,20210526122251
-78.689885085,43.9158925630001,3039,137287619,981,Long-Term Care Home,NH non-profit,Glen Hill Marnwood, , , ,26 Elgin Street, , ,Bowmanville,L1C3C8,20210527134252,20210526122252
-78.673516079,43.9123641630001,3040,137287620,2605,Long-Term Care Home,NH non-profit,Glen Hill Strathaven, , , ,264 King Street East, , ,Bowmanville,L1C1P9,20210527133756,20210526122252
-74.683474969,45.026031028,3041,137287621,M529,Long-Term Care Home,MHFA,Glen-Stor-Dun Lodge, , , ,1900 Montreal Road, , ,Cornwall,K6H7L1,20210527134128,20210526122252
-81.254777807,44.9873380220001,3042,137287622,2705,Long-Term Care Home,NH non-profit,Golden Dawn Nursing Home, , , ,80 Main Street, , ,Lion's Head,N0H1W0,20210527134001,20210526122252
-81.3435417329999,48.486066169,3043,137287623,M530,Long-Term Care Home,MHFA,Golden Manor, , , ,481 Melrose Boulevard, , ,Timmins,P4N5H3,20210527134409,20210526122252
-78.1950968309999,43.9743285960001,3044,137287624,M531,Long-Term Care Home,MHFA,Golden Plough Lodge, , , ,983 Burnham Street, , ,Cobourg,K9A5J6,20210527133930,20210526122253
-80.3545466699999,43.4042794960001,3045,137287625,1033,Long-Term Care Home,NH for-profit,Golden Years Nursing Home, , , ,704 Eagle Street North,Postal Office Box 3277, ,Cambridge,N3H4T3,20210527133812,20210526122253
-79.845243777,44.158651251,3046,137287626,2588,Long-Term Care Home,NH for-profit,Good Samaritan Nursing Home, , , ,481 Victoria Street East, , ,New Tecumseth,L9R1J8,20210527134325,20210526122253
-79.741464998,43.652924168,3047,137287627,2942,Long-Term Care Home,NH non-profit,Grace Manor, , , ,45 Kingknoll Drive, , ,Brampton,L6Y5P2,20210527134323,20210526122253
-79.8470965929999,43.211476286,3048,137287628,2741,Long-Term Care Home,NH for-profit,Grace Villa Nursing Home, , , ,45 Lockton Crescent, , ,Hamilton,L8V4V5,20210527135002,20210526122254
-79.634072599,42.909108342,3049,137287629,M532,Long-Term Care Home,MHFA,Grandview Lodge / Dunnville, , , ,657 Lock Street West, , ,Dunnville,N1A1V9,20210527134837,20210526122254
-75.904992694,45.2698837200001,3050,137287630,2879,Long-Term Care Home,NH for-profit,Granite Ridge Care Community, , , ,5501 Abbott Street East, , ,Ottawa,K2S2C5,20210527133641,20210526122254
-80.976497665,43.3834732620001,3051,137287631,3023,Long-Term Care Home,CHFA,Greenwood Court, , , ,90 Greenwood Drive, , ,Stratford,N5A7W5,20210527134335,20210526122254
-80.643231046,44.3156913400001,3052,137287632,M606,Long-Term Care Home,MHFA,Grey Gables Home for the Aged, , , ,206 Toronto Street South, , ,Markdale,N0C1H0,20210527134749,20210526122254
-79.669467244,44.406020702,3053,137287633,2950,Long-Term Care Home,NH non-profit,Grove Park Home For Senior Citizens, , , ,234 Cook Street, , ,Barrie,L4M4H5,20210527135046,20210526122254
-76.696789074,45.4813027220001,3054,137287634,2646,Long-Term Care Home,NH for-profit,Groves Park Lodge, , , ,470 Raglan Street North, , ,Renfrew,K7V1P5,20210527134919,20210526122255
-77.1373287929999,44.025120551,3055,137287635,M556,Long-Term Care Home,MHFA,H.J. McFarland Memorial Home, , , ,603 County Road 49,"R.R. 2, Hallowell Township", ,Prince Edward,K0K2T0,20210527135005,20210526122255
-77.181005305,43.9942106440001,3056,137287636,891,Long-Term Care Home,NH for-profit,Hallowell House, , , ,13628 Loyalist Parkway, , ,Prince Edward,K0K2T0,20210527134916,20210526122255
-79.850528997,43.2478724920001,3057,137287637,2706,Long-Term Care Home,NH for-profit,Hamilton Continuing Care, , , ,125 Wentworth Street South, , ,Hamilton,L8N2Z1,20210527133703,20210526122255
-79.8554984039999,43.3054339020001,3058,137287638,2846,Long-Term Care Home,NH for-profit,Hampton Terrace Care Centre, , , ,75 Plains Road West, , ,Burlington,L7T1E8,20210527133710,20210526122255
-81.0175727499999,44.159783394,3059,137287639,2770,Long-Term Care Home,NH for-profit,Hanover Care Centre, , , ,700 19th Avenue, , ,Hanover,N4N3S6,20210527134200,20210526122256
-80.3069499269999,43.0877901420001,3060,137287640,2720,Long-Term Care Home,NH for-profit,Hardy Terrace, , , ,612 Mount Pleasant Road,R.R. 2, ,Brantford,N3T5L5,20210527135027,20210526122256
-79.304965865,43.7205599010001,3061,137287641,2832,Long-Term Care Home,NH for-profit,Harmony Hills Care Community, , , ,1800 O'Connor Drive, , ,Toronto,M4A1W7,20210527134239,20210526122256
-79.470172216,43.698250789,3062,137287642,2732,Long-Term Care Home,NH non-profit,Harold and Grace Baker Centre, , , ,1 Northwestern Avenue, , ,Toronto,M6M2J7,20210527135044,20210526122256
-77.864214819,45.055084897,3063,137287643,M537,Long-Term Care Home,MHFA,Hastings Centennial Manor, , , ,1 Manor Lane,Postal Office Box 758, ,Bancroft,K0L1C0,20210527134830,20210526122257
-77.4124967929999,44.147512761,3064,137287644,M538,Long-Term Care Home,MHFA,Hastings Manor Home for the Aged, , , ,476 Dundas Street West,Postal Office Box 458, ,Belleville,K8N5B2,20210527134313,20210526122257
-79.688888791,43.757557789,3065,137287645,2887,Long-Term Care Home,NH for-profit,Hawthorn Woods Care Community, , , ,9257 Goreway Drive, , ,Brampton,L6P0N5,20210527133709,20210526122257
-79.521468437,43.7562351970001,3066,137287646,2586,Long-Term Care Home,NH for-profit,Hawthorne Place Care Centre, , , ,2045 Finch Avenue West, , ,Toronto,M3N1M9,20210527134513,20210526122257
-74.7322984859999,45.033361228,3067,137287647,2088,Long-Term Care Home,NH for-profit,Heartwood, , , ,201 11th Street East, , ,Cornwall,K6H2Y6,20210527133926,20210526122257
-79.2519020029999,43.1966577100001,3068,137287648,2960,Long-Term Care Home,NH non-profit,Heidehof Long Term Care Home, , , ,600 Lake Street, , ,St. Catharines,L2N4J4,20210527134551,20210526122257
-76.6604884549999,44.2261270070001,3069,137287649,2728,Long-Term Care Home,NH for-profit,Helen Henderson Nursing Home, , , ,343 Amherst Drive, , ,Amherstview,K7N1X3,20210527133747,20210526122258
-79.430342001,43.6767939870001,3070,137287650,2798,Long-Term Care Home,NH non-profit,Hellenic Care for Seniors (Toronto), , , ,215 Tyrrel Avenue, , ,Toronto,M6G4A9,20210527134857,20210526122258
-79.274554058,43.7493742070001,3071,137287651,2941,Long-Term Care Home,NH non-profit,Hellenic Home - Scarborough, , , ,2411 Lawrence Avenue East, , ,Toronto,M1P4X1,20210527134644,20210526122258
-81.215654409,43.046024091,3072,137287652,3045,Long-Term Care Home,NH for-profit,Henley Place, , , ,1961 Cedarhollow Boulevard, , ,London,N5X0K2,20210527134310,20210526122258
-79.7895973729999,43.193521785,3073,137287653,2776,Long-Term Care Home,NH non-profit,Heritage Green Nursing Home, , , ,353 Isaac Brock Drive, , ,Hamilton,L8J2J3,20210527134059,20210526122258
-82.899518066,42.3172483800001,3074,137287654,2898,Long-Term Care Home,NH for-profit,Heron Terrace Long Term Care Community, , , ,11550 McNorton Street, , ,Windsor,N8P1T9,20210527133848,20210526122259
-78.529328934,45.038798264,3075,137287655,3030,Long-Term Care Home,CHFA,Highland Wood, , , ,7199 Gelert Road,Postal Office Box 115, ,Haliburton,K0M1S0,20210527134155,20210526122259
-79.879639944,44.753573051,3076,137287656,2828,Long-Term Care Home,NH for-profit,Hillcrest Village Care Centre, , , ,255 Russell Street, , ,Midland,L4R5L6,20210527134708,20210526122259
-75.752773853,45.3761830450001,3077,137287657,3029,Long-Term Care Home,CHFA,Hillel Lodge, , , ,10 Nadolny Sachs Private, , ,Ottawa,K2A4G7,20210527134613,20210526122259
-78.863303741,43.9138485550001,3078,137287658,M539,Long-Term Care Home,MHFA,Hillsdale Estates, , , ,590 Oshawa Boulevard North, , ,Oshawa,L1G5T9,20210527135007,20210526122300
-78.864542141,43.915001655,3079,137287659,M630,Long-Term Care Home,MHFA,Hillsdale Terraces, , , ,600 Oshawa Boulevard North, , ,Oshawa,L1G5T9,20210527134543,20210526122300
-80.988041868,43.37389446,3080,137287660,1975,Long-Term Care Home,NH for-profit,Hillside Manor, , , ,Highway 8,"R.R. 5, 5066 Perth East Line 34", ,Stratford,N5A6S6,20210527134747,20210526122300
-75.834539041,44.909185861,3081,137287661,2645,Long-Term Care Home,NH for-profit,Hilltop Manor Nursing Home (Merrickville), , , ,1005 St Lawrence Street,Postal Office Box 430, ,Merrickville,K0G1N0,20210527134739,20210526122300
-89.270243067,48.3871232560001,3082,137287662,2923,Long-Term Care Home,NH non-profit,Hogarth Riverview Manor, , , ,300 Lillie Street, , ,Thunder Bay,P7C4Y7,20210527134904,20210526122300
-78.2884153589999,43.954560788,3083,137287663,2639,Long-Term Care Home,NH for-profit,Hope Street Terrace, , , ,20 Hope Street South, , ,Port Hope,L1A2M8,20210527134215,20210526122300
-84.7744385619999,49.21104467,3084,137287664,2771,Long-Term Care Home,NH non-profit,Hornepayne Community Hospital, , , ,278 Front Street,Postal Office Box 190, ,Hornepayne,P0M1Z0,20210527134648,20210526122301
-79.596503959,43.7271759880001,3085,137287665,2716,Long-Term Care Home,NH for-profit,Humber Valley Terrace, , , ,95 Humber College Boulevard, , ,Toronto,M9V5B5,20210527133847,20210526122301
-83.0237928989999,42.2532068620001,3086,137287666,M631,Long-Term Care Home,MHFA,Huron Lodge Long Term Care Home, , , ,1881 Cabana Road West, , ,Windsor,N9G1C7,20210527134214,20210526122301
-81.2555870859999,43.7380888100001,3087,137287667,M601,Long-Term Care Home,MHFA,Huronlea Home for the Aged, , , ,820 Turnberry Street, , ,Brussels,N0G1H0,20210527134714,20210526122301
-81.531312559,43.5981955720001,3088,137287668,M541,Long-Term Care Home,MHFA,Huronview Home for the Aged, , , ,R. R. 5,"Lot 50, Concession 1, Municipality of Huron East", ,Clinton,N0M1L0,20210527135041,20210526122301
-78.730152689,44.925273035,3089,137287669,3050,Long-Term Care Home,NH non-profit,Hyland Crest, , , ,6 McPherson Street,Postal Office Box 30, ,Minden,K0M2K0,20210527134548,20210526122302
-79.9148573159999,43.2361890870001,3090,137287670,2931,Long-Term Care Home,NH non-profit,Idlewyld Manor, , , ,449 Sanatorium Road, , ,Hamilton,L9C2A7,20210527133655,20210526122302
-82.8236411299999,42.170300857,3091,137287671,2129,Long-Term Care Home,NH for-profit,Iler Lodge, , , ,111 Iler Avenue, , ,Essex,N8M1T6,20210527134532,20210526122302
-79.277142555,43.7057649990001,3092,137287672,3034,Long-Term Care Home,CHFA,Ina Grafton Gage Home, , , ,40 Bell Estate Road, , ,Toronto,M1L0E2,20210527134414,20210526122302
-79.687485946,44.3686252950001,3093,137287673,2993,Long-Term Care Home,CHFA,IOOF Seniors Home, , , ,10 Brooks Street, , ,Barrie,L4N5L3,20210527134743,20210526122303
-80.116456066,43.072963848,3094,137287674,2724,Long-Term Care Home,NH non-profit,Iroquois Lodge Nursing Home, , , ,1755 Chiefswood Road,Postal Office Box 309, ,Ohsweken,N0A1M0,20210527134416,20210526122303
-79.392542791,43.7000009930001,3095,137287675,3031,Long-Term Care Home,CHFA,Isabel and Arthur Meighen Manor, , , ,155 Millwood Road, , ,Toronto,M4S1J6,20210527134245,20210526122303
-79.5068152219999,43.6378137770001,3096,137287676,2995,Long-Term Care Home,CHFA,Ivan Franko Home (Etobicoke), , , ,767 Royal York Road, , ,Toronto,M8Y2T3,20210527134704,20210526122303
-80.275574821,43.12616325,3097,137287677,M544,Long-Term Care Home,MHFA,John Noble Home, , , ,97 Mount Pleasant Street, , ,Brantford,N3T1T5,20210527133915,20210526122303
-75.641831985,45.009812487,3098,137287678,7073,Long-Term Care Home,CHFA,Kemptville District Hospital, , , ,2675 Concession Road,"Postal Office Bag 2007, P.O", ,Kemptville,K0G1J0,20210527134712,20210526122304
-79.280568761,43.762624509,3099,137287679,2654,Long-Term Care Home,NH for-profit,Kennedy Lodge, , , ,1400 Kennedy Road, , ,Toronto,M1P4V6,20210527134908,20210526122304
-81.2145039069999,43.0214083870001,3100,137287680,2729,Long-Term Care Home,NH for-profit,Kensington Village, , , ,1340 Huron Street, , ,London,N5V3R3,20210527133649,20210526122304
-77.148474095,44.0024471470001,3101,137287681,893,Long-Term Care Home,NH for-profit,Kentwood Park, , , ,2 Ontario Street, , ,Prince Edward,K0K2T0,20210527133702,20210526122304
-79.555474099,43.1912099950001,3102,137287682,1866,Long-Term Care Home,NH for-profit,Kilean Lodge, , , ,83 Main Street East, , ,Grimsby,L3M1N6,20210527134358,20210526122304
-79.5508022659999,43.972002633,3103,137287683,2113,Long-Term Care Home,NH for-profit,King City Lodge Nursing Home, , , ,146 Fog Road, , ,King City,L7B1A3,20210527134724,20210526122304
-79.740654518,43.879337708,3104,137287684,901,Long-Term Care Home,NH for-profit,King Nursing Home, , , ,49 Sterne Street, , ,Caledon,L7E1B9,20210527134213,20210526122305
-81.135425803,43.259643833,3105,137287685,2726,Long-Term Care Home,NH for-profit,Kingsway Lodge Nursing Home, , , ,310 Queen Street East,R.R. 6, ,Saint Marys,N4X1C8,20210527134344,20210526122305
-79.573395551,43.725745089,3106,137287686,M545,Long-Term Care Home,MHFA,Kipling Acres, , , ,2233 Kipling Avenue, , ,Toronto,M9W4L3,20210527133822,20210526122305
-80.9206021639999,43.571028298,3107,137287687,2996,Long-Term Care Home,CHFA,Knollcrest Lodge, , , ,50 William Street, , ,Milverton,N0K1M0,20210527135046,20210526122305
-79.595795471,43.871564413,3108,137287688,2997,Long-Term Care Home,CHFA,Kristus Darzs Latvian Home, , , ,11290 Pine Valley Drive, , ,Vaughan,L4L1A6,20210527134705,20210526122306
-79.5307966299999,43.6441096770001,3109,137287689,2860,Long-Term Care Home,NH non-profit,Labdara Lithuanian Nursing Home, , , ,5 Resurrection Road, , ,Toronto,M9A5G1,20210527133952,20210526122306
-84.77207959,48.0008768960001,3110,137287690,2875,Long-Term Care Home,NH non-profit,Lady Dunn Health Centre (Wawa), , , ,17 Government Road,Postal Office Box 179, ,Wawa,P0S1K0,20210527134908,20210526122306
-80.0170191449999,45.3410483430001,3111,137287691,2966,Long-Term Care Home,NH non-profit,Lakeland Long Term Care (Eldcap), , , ,6 Albert Street, , ,Parry Sound,P2A3A4,20210527134546,20210526122306
-80.0170191449999,45.3410483430001,3112,137287692,2958,Long-Term Care Home,NH non-profit,Lakeland Long Term Care Services, , , ,6 Albert Street, , ,Parry Sound,P2A3A4,20210527134512,20210526122306
-79.518455322,43.597216669,3113,137287693,M595,Long-Term Care Home,MHFA,Lakeshore Lodge, , , ,3197 Lake Shore Boulevard West, , ,Toronto,M8V3X5,20210527133905,20210526122307
-79.4332478979999,43.63651858,3114,137287694,2929,Long-Term Care Home,NH non-profit,Lakeside Long Term Care Centre, , , ,150 Dunn Avenue, , ,Toronto,M6K2R6,20210527134011,20210526122307
-79.163593683,44.4275327300001,3115,137287695,M546,Long-Term Care Home,MHFA,Lakeview Manor, , , ,133 Main Street,Postal Office Box 514, ,Beaverton,L0K1A0,20210527134137,20210526122307
-82.164823591,42.8844858160001,3116,137287696,M547,Long-Term Care Home,MHFA,Lambton Meadowview Villa, , , ,3958 Petrolia Line,R.R. 4, ,Petrolia,N0N1R0,20210527135042,20210526122307
-80.535254029,43.423979891,3117,137287697,2917,Long-Term Care Home,NH for-profit,Lanark Heights Long Term Care Centre, , , ,46 Lanark Crescent, , ,Kitchener,N2N2Z8,20210527133859,20210526122307
-76.272075784,44.9039801420001,3118,137287698,M548,Long-Term Care Home,MHFA,Lanark Lodge, , , ,115 Christie Lake Road,"R. R. 4, Lot 27, Concession 2", ,Perth,K7H3C6,20210527134055,20210526122307
-74.5039169189999,45.146266456,3119,137287699,2680,Long-Term Care Home,NH for-profit,Lancaster Long Term Care Residence, , , ,105 Military Road North,Postal Office Box 429, ,Lancaster,K0C1N0,20210527133707,20210526122308
-79.424798714,43.844822117,3120,137287700,2907,Long-Term Care Home,NH for-profit,Langstaff Square Care Community, , , ,170 Red Maple Road, , ,Richmond Hill,L4B4T8,20210527133947,20210526122308
-80.257403354,43.5633487280001,3121,137287701,2358,Long-Term Care Home,NH for-profit,LaPointe-Fisher Nursing Home, , , ,271 Metcalfe Street, , ,Guelph,N1E4Y8,20210527133656,20210526122308
-79.394925974,44.6066001500001,3122,137287702,2835,Long-Term Care Home,NH for-profit,Leacock Care Centre, , , ,25 Museum Drive, , ,Orillia,L3V7T9,20210527135016,20210526122308
-82.590172547,42.0431758460001,3123,137287703,3035,Long-Term Care Home,CHFA,Leamington Mennonite Home Long Term Care Residence, , , ,35 Pickwick Drive, , ,Leamington,N8H4T5,20210527134526,20210526122309
-80.9275604599999,44.560804267,3124,137287704,M549,Long-Term Care Home,MHFA,Lee Manor Home, , , ,875 Sixth Street East, , ,Owen Sound,N4K5W5,20210527134939,20210526122309
-76.966989656,44.240159196,3125,137287705,7089,Long-Term Care Home,NH non-profit,Lennox and Addington County General Hospital, , , ,8 Richmond Park Drive, , ,Napanee,K7R2Z4,20210527135035,20210526122309
-79.266330306,43.1835172070001,3126,137287706,M551,Long-Term Care Home,MHFA,Linhaven, , , ,403 Ontario Street, , ,St. Catharines,L2N1L5,20210527133632,20210526122309
-75.729815537,45.2802660290001,3127,137287707,2845,Long-Term Care Home,NH for-profit,Longfields Manor, , , ,330 Beatrice Drive, , ,Ottawa,K2J5A5,20210527133954,20210526122309
-79.848059394,43.2255618880001,3128,137287708,M552,Long-Term Care Home,MHFA,Macassa  Lodge, , , ,701 Upper Sherman Avenue, , ,Hamilton,L8V3M7,20210527134653,20210526122309
-79.450811825,43.87045412,3129,137287709,2825,Long-Term Care Home,NH non-profit,Mackenzie Health Long Term Care Facility, , , ,10 Trench Street, , ,Richmond Hill,L4C4Z3,20210527134031,20210526122310
-79.478916951,44.057486951,3130,137287710,2611,Long-Term Care Home,NH for-profit,MacKenzie Place, , , ,52 George Street, , ,Newmarket,L3Y4V3,20210527134841,20210526122310
-75.560099796,45.4604166670001,3131,137287711,2974,Long-Term Care Home,NH for-profit,Madonna Care Community, , , ,1541 Saint Joseph Boulevard, , ,Ottawa,K1C7L3,20210527133714,20210526122310
-79.298598259,43.681609494,3132,137287712,2589,Long-Term Care Home,NH for-profit,Main Street Terrace, , , ,77 Main Street, , ,Toronto,M4E2V6,20210527134245,20210526122310
-81.711773529,43.7331250870001,3133,137287713,965,Long-Term Care Home,NH for-profit,Maitland Manor, , , ,290 South Street, , ,Goderich,N7A4G6,20210527134710,20210526122310
-79.6243714669999,43.7184795850001,3134,137287714,M618,Long-Term Care Home,MHFA,Malton Village Long Term Care Centre, , , ,7075 Rexwood Road, , ,Mississauga,L4T4M1,20210527133846,20210526122310
-81.9364897309999,45.98389625,3135,137287715,M553,Long-Term Care Home,MHFA,Manitoulin Centennial Manor Home for the Aged, , , ,70 Robinson Street,Postal Office Bag 460, ,Little Current,P0P1K0,20210527134318,20210526122311
-82.465620593,45.9138896100001,3136,137287716,2667,Long-Term Care Home,NH for-profit,Manitoulin Lodge, , , ,3 Main Street,Postal Office Box 648, ,Gore Bay,P0P1H0,20210527134226,20210526122311
-75.6282104169999,45.447854862,3137,137287717,2867,Long-Term Care Home,NH for-profit,Manoir Marochel, , , ,949 Montreal Road, , ,Ottawa,K1K0S6,20210527134217,20210526122311
-79.754830012,43.757712186,3138,137287718,2911,Long-Term Care Home,NH for-profit,Maple Grove Care Community, , , ,215 Sunny Meadow Boulevard, , ,Brampton,L6R3B5,20210527134532,20210526122311
-80.72991974,42.8600623820001,3139,137287719,1049,Long-Term Care Home,NH for-profit,Maple Manor Nursing Home, , , ,73 Bidwell Street, , ,Tillsonburg,N4G3T8,20210527134546,20210526122312
-78.9227196739999,42.9104541740001,3140,137287720,2891,Long-Term Care Home,NH for-profit,Maple Park Lodge, , , ,6 Hagey Avenue, , ,Fort Erie,L2A5M5,20210527134847,20210526122312
-80.9490446679999,44.5674013670001,3141,137287721,2690,Long-Term Care Home,NH for-profit,Maple View, , , ,1029 4th Avenue West, , ,Owen Sound,N4K4W1,20210527133904,20210526122312
